icon,seg_id,T0_iou,T0_margin,T1_iou,T1_margin,T2_iou,T2_margin,T3_iou,T3_margin,T4_iou,T4_margin,T5_iou,T5_margin,T6_iou,T6_margin,T7_iou,T7_margin,T8_iou,T8_margin,T9_iou,T9_margin
0,2,530,183,607,195,446,113,664,197,625,139,592,181,630,154,470,134,641,180,426,78
1,3,402,117,332,78,430,152,359,106,326,63,363,104,380,110,342,92,350,100,358,94
2,2,481,95,484,138,503,117,571,173,567,112,503,126,503,100,515,107,478,113,482,95
3,1,648,310,534,223,582,242,684,367,481,132,536,206,616,273,406,119,440,127,565,170
4,1,446,159,331,88,451,169,388,131,431,127,420,155,343,73,312,51,405,132,363,105
5,3,376,120,325,104,406,153,491,260,386,117,328,75,385,129,344,92,497,265,390,136
6,3,517,97,526,135,558,143,534,148,529,81,518,105,510,78,521,60,464,106,439,61
7,7,514,177,427,114,439,106,423,104,427,77,401,71,385,64,492,134,381,78,386,69
8,4,405,99,496,213,391,87,349,66,359,62,358,67,357,59,390,94,369,87,351,56
9,2,513,232,387,142,566,289,403,140,440,126,445,164,375,86,374,112,519,248,377,87
10,2,359,115,359,136,316,73,359,123,281,38,315,79,328,74,328,87,310,76,349,98
11,16,402,92,411,122,377,69,411,111,453,96,348,48,408,83,412,77,344,67,342,59
12,6,417,127,335,84,403,114,350,77,408,106,325,55,360,74,359,81,330,63,347,67
13,6,474,160,447,160,397,87,392,102,410,101,384,80,460,168,414,109,401,123,381,75
14,2,284,76,260,75,280,74,311,110,273,58,253,47,269,65,275,76,258,60,275,68
15,5,322,87,300,81,302,67,315,82,308,56,301,65,305,60,261,30,282,54,316,78
16,3,275,84,239,68,229,41,257,71,233,43,317,129,223,73,192,58,260,72,245,55
17,9,433,93,434,127,438,104,402,85,380,50,395,68,410,86,455,114,343,45,383,63
18,2,367,94,318,82,413,144,335,80,364,89,333,78,364,109,306,76,343,82,336,69
19,2,250,69,257,86,231,52,244,65,275,74,257,71,239,63,247,71,228,46,256,59
20,2,548,227,540,262,446,129,368,89,378,86,399,106,463,164,348,77,465,173,390,76
21,1,483,106,513,169,514,103,574,164,538,54,513,136,500,96,611,206,484,108,490,85
22,3,201,46,216,65,199,41,193,46,216,45,196,34,214,52,197,43,179,34,198,45
23,1,433,155,427,178,373,90,379,116,332,63,407,127,393,117,338,99,411,125,503,229
24,1,425,113,462,182,460,140,376,84,418,98,381,84,432,124,324,54,434,141,375,71
25,3,472,180,345,92,387,101,349,91,351,91,340,74,383,108,343,92,378,115,329,58
26,5,512,164,482,172,445,104,408,78,441,74,460,115,450,122,468,111,372,58,437,106
27,1,366,94,360,124,400,130,378,139,333,73,342,83,377,107,317,79,331,84,421,149
28,3,378,83,358,97,404,105,360,94,418,136,357,72,386,108,323,57,358,81,363,79
29,1,458,138,454,165,416,106,372,72,381,56,426,123,444,138,366,65,436,137,380,86
30,1,411,88,457,170,415,99,386,92,391,65,397,91,397,93,397,107,441,148,410,97
31,8,346,69,321,79,344,73,355,95,315,42,330,74,351,86,338,71,323,79,308,58
32,6,354,91,299,62,354,90,308,69,357,103,361,110,397,145,296,44,365,127,350,109
33,1,625,186,510,145,646,177,537,124,640,94,575,156,612,191,503,91,605,190,506,92
34,3,350,70,314,68,401,115,315,56,376,103,515,251,345,73,328,93,307,49,351,99
35,15,364,77,319,61,346,67,326,65,351,69,308,42,411,147,323,56,315,63,340,90
36,2,511,108,520,152,557,138,577,176,521,75,508,106,515,114,537,115,482,76,490,76
37,4,353,76,306,62,364,93,328,74,338,76,368,107,352,90,336,78,344,98,366,124
38,1,465,106,478,149,445,87,529,156,487,68,440,82,522,174,476,95,455,115,461,121
39,16,369,67,356,81,496,199,350,77,429,129,313,31,355,67,347,53,310,49,353,86
40,1,557,240,566,166,551,99,593,157,562,87,577,140,552,118,619,165,533,110,542,89
41,5,570,147,522,152,583,145,549,127,630,78,511,90,531,118,596,146,604,211,485,105
42,2,563,243,442,165,439,131,380,100,373,82,409,118,442,149,372,86,430,147,389,75
43,2,568,100,626,198,592,118,627,144,619,65,573,97,601,126,626,106,577,113,571,98
