icon,seg_id,T0_iou,T0_margin,T1_iou,T1_margin,T2_iou,T2_margin,T3_iou,T3_margin,T4_iou,T4_margin,T5_iou,T5_margin,T6_iou,T6_margin,T7_iou,T7_margin,T8_iou,T8_margin,T9_iou,T9_margin
0,2,705,178,674,234,674,154,661,209,700,227,646,133,677,185,702,268,661,130,684,177
1,3,438,143,347,80,369,77,360,93,338,62,402,118,371,82,358,71,384,118,421,137
2,2,568,150,537,175,578,160,567,164,553,120,559,149,503,96,500,105,500,96,504,79
3,1,585,239,600,296,547,206,546,238,459,174,555,222,448,122,631,325,596,237,461,100
4,1,397,105,401,141,396,99,436,161,373,85,403,115,403,117,359,92,415,145,409,117
5,3,417,132,444,199,392,111,549,292,379,116,372,102,403,117,341,91,495,219,388,108
6,3,655,169,606,177,669,201,583,130,574,73,608,139,650,162,573,75,563,129,555,86
7,7,489,133,453,126,430,82,452,102,454,75,474,120,464,109,493,102,410,80,412,84
8,4,394,90,362,84,386,84,352,60,355,49,410,111,373,69,362,56,353,68,346,58
9,2,485,193,400,152,496,206,514,244,430,147,430,157,509,228,366,108,496,211,434,128
10,2,296,83,338,119,339,89,325,98,304,74,337,93,354,107,292,70,302,69,349,109
11,16,446,98,437,131,444,104,441,113,451,82,445,118,470,106,402,64,406,96,429,90
12,6,383,77,412,137,388,76,366,71,387,60,360,66,376,66,351,58,354,63,388,80
13,6,420,89,388,88,433,105,396,74,397,67,440,115,406,85,415,72,434,119,394,80
14,2,295,94,271,86,260,56,288,97,267,67,251,57,277,79,304,116,257,64,283,69
15,5,377,118,333,101,340,76,339,103,303,41,364,104,347,86,290,66,258,56,355,73
16,3,293,99,263,84,294,97,279,88,271,86,311,114,285,93,243,70,283,80,271,70
17,9,478,126,426,101,469,115,449,115,436,72,448,105,470,122,429,54,428,82,443,111
18,2,398,115,386,136,419,137,368,109,317,66,392,117,427,154,328,69,375,104,409,127
19,2,276,76,329,147,295,96,293,97,264,63,269,62,267,65,248,60,266,66,254,48
20,2,447,122,393,108,420,99,396,97,352,58,436,127,519,197,378,66,411,96,486,151
21,1,576,176,582,220,590,166,593,188,602,151,658,217,617,192,536,169,531,111,616,183
22,3,246,74,229,75,209,44,226,72,197,37,255,82,224,56,214,58,197,38,234,59
23,1,405,122,409,156,412,124,414,145,384,127,376,106,389,108,351,107,375,94,359,80
24,1,467,129,428,130,449,110,425,113,418,98,431,105,462,156,389,69,464,133,443,119
25,3,406,115,353,89,409,115,343,71,354,78,393,105,402,119,363,78,366,91,367,77
26,5,455,88,452,116,449,80,455,92,469,85,507,148,430,75,488,91,454,109,443,111
27,1,377,130,325,109,367,122,312,91,362,136,345,102,319,75,295,81,336,98,333,76
28,3,443,131,376,96,430,117,398,107,389,81,347,110,424,133,395,94,372,80,430,129
29,1,438,112,396,103,425,94,410,97,372,43,424,108,410,95,412,80,390,86,430,123
30,1,494,154,395,96,427,89,389,77,391,65,428,105,479,167,411,80,458,118,428,114
31,8,401,107,350,86,370,73,409,127,386,77,345,62,345,66,391,93,358,72,368,81
32,6,410,137,327,80,349,79,312,62,307,56,360,101,345,93,300,49,325,84,344,91
33,1,614,146,536,148,661,174,580,151,591,64,602,140,581,131,556,139,597,128,592,159
34,3,387,86,358,94,391,99,348,77,372,83,365,86,365,85,359,78,343,71,353,80
35,15,361,68,338,66,354,63,357,77,372,67,351,63,318,34,382,84,325,55,333,64
36,2,606,157,588,190,590,135,544,113,580,132,550,107,577,131,556,142,600,154,541,87
37,4,387,100,402,142,344,59,357,88,370,64,321,48,327,51,344,65,325,65,359,87
38,1,542,133,533,164,513,102,479,102,502,88,511,105,476,76,510,110,500,83,509,111
39,16,365,52,378,88,388,78,380,71,413,73,412,94,371,73,413,78,374,91,374,88
40,1,627,164,594,194,636,167,609,201,576,143,612,147,584,131,542,130,626,162,619,134
41,5,631,161,604,191,605,117,594,134,606,65,566,86,574,136,596,122,574,106,504,91
42,2,466,131,444,150,437,106,389,86,401,83,435,115,450,124,397,70,466,156,421,104
43,2,672,160,642,174,660,142,651,151,628,97,595,77,704,179,625,120,712,185,660,132
44,4,356,89,324,84,308,78,343,91,346,72,330,73,345,69,361,105,290,60,352,75
45,4,483,122,458,126,512,151,439,97,461,94,498,137,483,135,464,81,428,72,469,116
46,2,459,134,458,149,482,136,538,200,474,103,455,91,444,111,562,230,453,92,509,143
47,9,527,162,431,108,485,122,431,92,376,69,483,142,500,152,447,80,501,149,494,135
48,9,537,161,471,128,486,115,482,134,465,92,485,120,497,133,460,60,471,109,471,131
49,3,362,75,347,89,383,92,366,93,381,84,395,116,355,65,335,55,339,64,391,104
50,3,435,109,426,129,418,93,401,92,382,63,393,71,438,122,409,78,388,76,419,109
51,5,277,85,251,75,274,79,257,71,248,39,245,50,236,41,224,44,274,82,273,66
52,3,592,127,544,143,594,118,573,124,561,68,604,149,556,103,525,67,594,135,661,231
53,15,414,89,375,83,382,64,376,77,413,85,381,70,353,49,373,49,366,80,384,86
54,2,595,163,525,159,587,130,592,178,616,86,611,165,542,113,579,182,629,191,387,81
55,4,401,83,366,80,401,83,371,69,370,51,424,110,379,69,377,51,400,96,419,114
56,1,430,120,383,106,388,84,390,102,364,55,393,92,370,64,358,56,355,68,387,80
57,1,454,143,393,123,407,100,362,84,335,63,428,141,400,110,358,76,394,79,429,134
58,5,465,115,418,93,446,111,425,90,422,60,431,102,384,54,405,68,415,83,418,100
